"Release_Date","Title","Popularity","Vote_Count","Vote_Average","Original_Language","Genre"
"2019-02-14","Oh, Ramona!",23.144,"333","5.7","en","Comedy, Romance"
"2018-03-15","Sherlock Gnomes",23.142,"577","5.6","en","Animation, Family, Fantasy, Comedy, Adventure, Mystery"
"2014-05-14","Obsessed",23.139,"40","6.8","ko","Drama, Romance, Adventure"
"2019-05-24","Avengement",23.134,"332","6.8","en","Crime, Action"
"2011-06-17","Towa no Quon 1: The Ephemeral Petals",23.134,"10","6.3","ja","Action, Animation, Science Fiction, Fantasy"
"2016-11-11","Shut In",23.132,"592","5.4","en","Drama, Thriller"
"1952-04-09","Singin' in the Rain",23.116,"2354","8.2","en","Comedy, Music, Romance"
"2016-10-21","Before the Flood",23.114,"659","7.7","en","Documentary"
"2006-05-05","Survival Island",23.111,"163","5.1","en","Thriller, Mystery, Drama, Romance"
"1992-12-23","Scent of a Woman",23.109,"2458","7.7","en","Drama"
"2016-04-23","Ghostheads",23.107,"29","5.9","en","Documentary"
"2011-11-11","Young Adult",23.107,"996","5.7","en","Comedy, Drama"
"2018-02-16","Monster Hunt 2",23.101,"87","6.8","en","Adventure, Comedy, Fantasy"
"2019-01-24","Serenity",23.095,"1272","5.4","en","Thriller, Mystery, Drama"
"2006-03-15","The Lives of Others",23.093,"2824","8.1","de","Drama, Thriller"
"2011-09-22","Madrid, 1987",23.092,"40","6.3","es","Drama"
"2021-02-23","Pelé",23.088,"122","7.5","pt","Documentary"
"2019-12-13","Yummy",23.085,"181","6.4","nl","Horror, Comedy, Action"
"1979-07-26","The Amityville Horror",23.083,"642","6.3","en","Horror"
"2013-11-16","Wer",23.081,"270","6.3","en","Horror, Mystery, Thriller"
"1997-02-07","Dante's Peak",23.081,"1413","6.1","en","Action, Adventure, Thriller, Drama"
"1987-04-02","Police Academy 4: Citizens on Patrol",23.079,"883","5.4","en","Comedy, Crime"
"1999-03-16","From Dusk Till Dawn 2: Texas Blood Money",23.076,"332","4.6","en","Crime, Action, Horror, Thriller"
"1989-12-22","Tango & Cash",23.074,"1448","6.4","en","Action, Adventure, Comedy, Thriller"
"2008-10-24","Vacancy 2: The First Cut",23.069,"191","5.3","en","Horror, Thriller, Mystery"
"2019-09-07","Vivarium",23.064,"1267","6.0","en","Science Fiction, Horror, Mystery"
"2011-10-11","Arena",23.061,"219","5.3","en","Action, Thriller, Science Fiction"
"1992-08-07","Unforgiven",23.059,"3322","7.9","en","Western"
"2019-10-31","Fidelity",23.055,"167","7.0","ru","Drama"
"2006-03-17","She's the Man",23.055,"2429","6.8","en","Comedy, Drama, Family, Romance"
"2000-08-25","Bring It On",23.054,"1372","6.2","en","Comedy"
"2003-04-11","House of 1000 Corpses",23.051,"1196","6.2","en","Horror"
"2008-08-15","Vicky Cristina Barcelona",23.046,"3080","6.8","en","Drama, Romance"
"2003-08-15","The Medallion",23.042,"851","5.6","en","Thriller, Fantasy, Action, Comedy"
"2014-10-12","The Boss: Anatomy of a Crime",23.027,"68","7.9","es","Drama, Crime"
"2021-04-30","Daddy's Perfect Little Girl",23.025,"2","6.0","en","Drama, TV Movie"
"1998-03-12","The Man in the Iron Mask",23.022,"3155","6.6","en","Adventure, Action, Drama"
"2017-06-01","Kill Switch",23.019,"188","4.8","en","Science Fiction, Action, Thriller"
"2020-11-04","The Superdeep",23.018,"147","6.3","ru","Horror, Science Fiction, Thriller"
"2016-10-14","Ozzy",23.014,"130","6.0","es","Animation, Family"
"2003-02-07","The Jungle Book 2",23.002,"943","5.9","en","Family, Animation, Adventure"
"2015-06-05","The Cokeville Miracle",23.001,"63","7.0","en","Mystery, Drama, History, Family, Thriller"
"2003-03-28","Bulletproof Monk",23.001,"710","5.5","en","Action, Comedy, Fantasy"
"2017-05-04","Covet: Island of Desire",22.998,"4","4.5","ko","Romance"
"2002-03-29","National Lampoon's Van Wilder",22.997,"1477","6.0","en","Comedy, Romance"
"2007-04-28","Fist of the North Star: Legend of Raoh - Chapter of Fierce Fight",22.995,"39","6.5","ja","Action, Animation"
"2004-06-16","Around the World in 80 Days",22.995,"1997","5.9","en","Action, Adventure, Comedy"
"2005-02-25","Diary of a Mad Black Woman",22.993,"161","6.5","en","Comedy, Drama, Romance"
"1991-02-07","Operation Condor",22.992,"391","7.4","cn","Action, Adventure, Crime, Thriller"
"2013-12-06","47 Ronin",22.991,"3108","6.1","en","Drama, Action, Adventure, Fantasy"
"2016-04-15","Barbershop: The Next Cut",22.98,"373","6.3","en","Comedy, Drama"
"2008-09-24","Open Season 2",22.978,"957","5.8","en","Adventure, Animation, Comedy, Family"
"2007-11-03","Sky of Love",22.977,"125","7.9","ja","Romance, Drama"
"2020-08-14","Project Power",22.973,"2249","6.6","en","Action, Crime, Science Fiction"
"2018-07-25","Illang: The Wolf Brigade",22.973,"198","6.4","ko","Science Fiction, Action, Thriller, Drama"
"1997-08-19","G.I. Jane",22.971,"1283","6.4","en","Action, Drama"
"2016-12-07","Pandora",22.964,"302","7.5","ko","Thriller, Drama, Action"
"2019-01-16","The Kid Who Would Be King",22.963,"569","6.1","en","Action, Adventure, Fantasy, Family"
"1995-05-10","A Little Princess",22.963,"782","7.6","en","Drama, Family, Fantasy"
"1994-08-03","Clear and Present Danger",22.961,"1110","6.6","en","Action, Drama, Thriller"
"2019-04-05","Alien Warfare",22.958,"113","4.1","en","Action, Science Fiction, Thriller"
"1993-05-07","Dragon: The Bruce Lee Story",22.956,"524","6.9","en","Drama, History, Action"
"2008-03-14","Doomsday",22.955,"925","5.9","en","Action, Thriller, Science Fiction"
"2021-04-30","Four Good Days",22.95,"75","7.0","en","Drama"
